,x,y
0,37.27366968,355
1,37.28679996,336
2,37.29993024,326
3,37.31306053,298
4,37.32619081,323
5,37.33932109,349
6,37.35245137,331
7,37.36558166,317
8,37.37871194,313
9,37.39184222,346
10,37.4049725,351
11,37.41810279,324
12,37.43123307,366
13,37.44436335,334
14,37.45749363,354
15,37.47062392,342
16,37.4837542,318
17,37.49688448,347
18,37.51001477,321
19,37.52314505,322
20,37.53627533,336
21,37.54940561,303
22,37.5625359,305
23,37.57566618,325
24,37.58879646,321
25,37.60192674,341
26,37.61505703,314
27,37.62818731,354
28,37.64131759,333
29,37.65444787,341
30,37.66757816,359
31,37.68070844,342
32,37.69383872,344
33,37.70696901,330
34,37.72009929,356
35,37.73322957,335
36,37.74635985,309
37,37.75949014,389
38,37.77262042,350
39,37.7857507,364
40,37.79888098,330
41,37.81201127,318
42,37.82514155,330
43,37.83827183,356
44,37.85140211,344
45,37.864532399999995,333
46,37.87766268,327
47,37.89079296,330
48,37.90392325,337
49,37.91705353,333
50,37.93018381,325
51,37.94331409,364
52,37.95644438,315
53,37.96957466,373
54,37.98270494,346
55,37.99583522,368
56,38.00896551,371
57,38.02209579,334
58,38.03522607,342
59,38.04835636,351
60,38.06148664,353
61,38.07461692,368
62,38.0877472,387
63,38.10087749,391
64,38.11400777,423
65,38.12713805,450
66,38.14026833,520
67,38.15339862,571
68,38.166528899999996,572
69,38.17965918,713
70,38.19278946,710
71,38.20591975,718
72,38.21905003,717
73,38.23218031,792
74,38.2453106,824
75,38.25844088,919
76,38.27157116,973
77,38.28470144,1046
78,38.29783173,1127
79,38.31096201,1141
80,38.32409229,1243
81,38.33722257,1355
82,38.35035286,1654
83,38.36348314,1974
84,38.37661342,2713
85,38.389743700000004,3679
86,38.40287399,4965
87,38.41600427,6964
88,38.42913455,9652
89,38.44226484,12482
90,38.45539512,13318
91,38.4685254,11273
92,38.48165568,8802
93,38.49478597,6654
94,38.50791625,5749
95,38.52104653,5751
96,38.53417681,6605
97,38.5473071,7140
98,38.56043738,6488
99,38.57356766,5052
100,38.58669794,3686
101,38.59982823,2597
102,38.61295851,1749
103,38.62608879,1334
104,38.63921908,1038
105,38.65234936,876
106,38.66547964,797
107,38.67860992,675
108,38.69174021,606
109,38.70487049,564
110,38.71800077,568
111,38.73113105,504
112,38.74426134,466
113,38.75739162,454
114,38.7705219,422
115,38.78365219,405
116,38.79678247,391
117,38.80991275,368
118,38.82304303,328
119,38.83617332,354
120,38.8493036,374
121,38.86243388,368
122,38.87556416,343
123,38.88869445,339
124,38.90182473,322
125,38.91495501,379
126,38.92808529,365
127,38.94121558,376
128,38.95434586,369
129,38.96747614,364
130,38.98060643,390
131,38.99373671,394
